aback
afraid
agit
alert
alon
ambigu
anger
angri
angsti
annoy
antsi
anxieti
anxious
apathet
apprehens
asham
awkward
bash
bewild
bitter
bore
boredom
bother
busi
cautious
chagrin
challeng
chill
clumsi
cold
collect
concern
conflict
confus
cramp
cranki
creep
critic
defeat
defens
deject
deprec
depress
deris
disagre
disappoint
disapprov
disbelief
discomfort
discourag
disdain
disgruntl
disgust
disinterest
dismiss
dissatisfi
distract
distress
down
drain
dread
drowsi
dull
embarrass
ewww
exasper
exclud
exhaust
faint
fatigu
fidgeti
fine
fire
flummox
fluster
frustrat
fussi
gossipi
gross
grumpi
guilt
guilti
hassl
hast
hate
headach
hesit
humbl
hunger
hungri
hurri
hyper
impati
indecis
indiffer
indign
inquisit
insecur
irrit
jade
jealous
jitteri
languid
lazi
letharg
lone
loos
mad
miser
mix
mourn
nervous
obstin
occupi
offend
overwhelm
overwork
pain
panic
pensiv
perplex
piss
preoccupi
procrastin
reflect
regret
reluct
resign
resist
rest
restless
restraint
riski
rush
sad
scare
scatter
self-consci
self-effac
self-loath
shame
shock
sick
silli
sleepi
sluggish
sneaki
sour
startl
starv
stress
stubborn
studious
sulki
suspens
tens
tentat
tire
tired
torn
unamus
uncertainti
uncomfort
unconcern
uncont
uneasi
unfocus
unhappi
unintellig
uninterest
unmotiv
unpleas
unprepar
unsur
upset
wait
weak
weari
wind
worn
worri
