PPID,Beep,Reported,Estimated,PropPos
12386,111,5,0.205524164,0
12386,112,4,0.827848298,1
12386,113,5,0.25387319,0
12386,114,5,0.893724824,1
12386,115,3,0.205619763,0
12386,116,5,0.871756746,1
12386,117,2,0.205619763,0
12386,118,5,0.299367791,0
12386,119,5,0.698371179,1
12386,120,5,0.607413753,1
12386,121,5,0.844717825,1
12386,122,5,0.25387319,0
12386,123,5,0.607413753,1
12386,124,6,0.607413753,1
12386,125,3,0.079276645,0
12386,126,3,0.085708087,0
12386,127,5,0.965734463,1
12386,128,5,0.138972641,0
12386,130,5,0.932313082,1
12386,131,3,0.23437063,0
12386,132,3,0.25387319,0
12386,133,5,0.71976152,1
12386,134,3,0.25387319,0
12386,135,5,0.377327835,0
12386,136,3,0.123790363,0
12386,137,3,0.25387319,0
12386,138,3,0.25387319,0
12386,139,4,0.171013727,0
12386,140,5,0.299367791,0
12386,23,4,0.191996665,0
12386,24,5,0.526312818,1
12386,25,4,0.736574879,1
12386,27,4,0.216061001,0
12386,28,3,0.36799273,0
26707,1,3,0.377327835,0
26707,2,6,0.56420314,1
26707,3,3,0.317334813,0
26707,4,5,0.61182654,1
26707,6,3,0.095921271,0
26707,7,5,0.109267098,0
26707,8,5,0.425761368,1
26707,9,3,0.317334813,0
26707,11,4,0.095921271,0
26707,12,5,0.61182654,1
26707,13,4,0.59049401,1
26707,15,3,0.140615185,0
26707,16,2,0.152816482,0
26707,17,5,0.317334813,0
26707,18,5,0.25387319,0
26707,19,3,0.25387319,0
26707,20,5,0.61182654,1
26707,21,1,0.094899638,0
26707,23,1,0.095921271,0
26707,24,1,0.105965864,0
26707,25,1,0.204843165,0
26707,28,2,0.110669216,0
26707,29,2,0.204843165,0
26707,32,3,0.844717825,1
26707,35,4,0.204843165,0
26707,3,5,0.377327835,0
26707,4,5,0.109267098,0
26707,5,2,0.173962344,0
26707,36,5,0.840212584,1
26707,37,5,0.319818753,0
26707,38,5,0.844717825,1
26707,39,5,0.25387319,0
26707,40,5,0.205619763,0
26707,43,5,0.838175618,1
26707,44,6,0.153216875,0
26707,45,3,0.140615185,0
26707,47,3,0.317334813,0
26707,48,5,0.61182654,1
26707,49,2,0.276368524,0
26707,50,3,0.15704793,0
26707,52,3,0.153216875,0
26707,53,2,0.319818753,0
26707,55,3,0.844717825,1
26707,57,4,0.377327835,0
26707,58,5,0.844717825,1
26707,59,5,0.319818753,0
26707,60,3,0.319818753,0
26707,62,4,0.844717825,1
26707,63,5,0.319818753,0
26707,64,5,0.844717825,1
26707,65,3,0.844717825,1
26707,68,5,0.286892065,0
26707,69,3,0.317334813,0
26707,70,5,0.607413753,1
26707,72,5,0.317334813,0
26707,74,5,0.25387319,0
26707,75,3,0.61182654,1
26707,77,5,0.317334813,0
26707,78,5,0.319818753,0
26707,79,5,0.59049401,1
26707,80,5,0.25387319,0
26707,83,5,0.59049401,1
26707,84,5,0.59049401,1
26707,85,5,0.61182654,1
26707,87,5,0.844717825,1
26707,90,6,0.844717825,1
26707,91,5,0.317334813,0
26707,92,5,0.59049401,1
26707,95,5,0.25387319,0
26707,97,5,0.317334813,0
26707,98,5,0.25387319,0
26707,99,5,0.59049401,1
26707,100,5,0.59049401,1
26707,102,5,0.317334813,0
26707,103,5,0.59049401,1
26707,104,5,0.59049401,1
26707,105,5,0.59049401,1
26707,16,5,0.319818753,0
26707,18,3,0.317334813,0
26707,19,4,0.377327835,0
26707,107,5,0.377327835,0
26707,109,3,0.59049401,1
26707,111,3,0.317334813,0
26707,112,5,0.61182654,1
26707,113,5,0.842283054,1
26707,114,5,0.844717825,1
26707,115,5,0.25387319,0
26707,116,5,0.844717825,1
26707,120,6,0.844717825,1
26707,121,3,0.16681361,0
26707,122,5,0.61182654,1
26707,123,3,0.16681361,0
26707,124,5,0.59049401,1
26707,125,5,0.844717825,1
26707,127,5,0.319818753,0
26707,130,6,0.844717825,1
26707,131,5,0.377327835,0
26707,132,5,0.317334813,0
26707,133,5,0.61182654,1
