PPID,Day,Reported,Estimated,PropPos
3,11,34,0.574760572,0.5
3,12,28,0.841095009,1
3,12,28,0.841095009,1
3,12,23,0.587124947,0.5
3,12,31,0.587124947,0.5
3,12,26,0.726513648,1
3,12,18,0.394185781,0.5
3,13,30,0.841095009,1
3,13,26,0.841095009,1
3,13,32,0.079859161,0
3,13,15,0.80699993,0.666666667
3,13,38,0.939181932,1
3,13,27,0.47432828,0.5
3,13,37,0.944069896,1
3,13,-13,0.140615185,0
3,14,22,0.944069896,1
3,14,-41,0.111820431,0
3,14,-1,0.23754436,0.5
3,14,0,0.50157052,1
3,14,15,0.232958519,0.5
3,14,-1,0.50157052,1
3,14,16,0.966903189,1
3,14,33,0.841095009,1
3,14,34,0.841095009,1
3,14,33,0.841095009,1
3,15,30,0.893182927,1
3,15,35,0.890408341,1
3,15,25,0.944069896,1
3,15,34,0.890408341,1
3,15,18,0.200936812,0
3,15,15,0.136905236,0
3,15,33,0.949012251,1
6,1,24,0.190952435,0.333333333
6,1,12,0.198033867,0
6,1,31,0.156628923,0.333333333
6,1,28,0.841007662,1
6,1,50,0.967575563,1
6,2,49,0.93470219,1
6,2,49,0.916025675,1
6,2,21,0.838175618,1
6,2,34,0.586148815,0.5
6,2,25,0.747460572,1
6,2,-16,0.085781404,0
6,2,-13,0.200936812,0
6,2,-13,0.212548364,0
6,2,50,0.892259632,1
6,3,46,0.80848699,0.666666667
6,3,50,0.964708461,1
6,3,50,0.918910234,1
6,3,50,0.914782643,1
6,3,18,0.50157052,1
6,3,47,0.870725557,1
6,3,9,0.586148815,0.5
6,3,33,0.607413753,1
6,3,49,0.471897118,0.5
6,3,-16,0.370107513,0.333333333
6,3,34,0.33133683,0.5
6,3,32,0.865541716,1
6,4,40,0.936938242,1
6,4,34,0.423048408,0.5
6,4,35,0.198502043,0.333333333
6,4,24,0.619926731,0.5
6,4,12,0.607413753,1
6,4,38,0.896563782,1
6,4,7,0.94485646,1
6,4,35,0.965322444,1
6,4,41,0.882239847,0.666666667
6,4,-15,0.217707219,0
6,5,-13,0.222096648,0
6,5,33,0.838175618,1
6,5,39,0.944466198,1
