Word,Count,InferredValence,ValenceCategory
irritated,60,0.153216875,2
isolated,1,0.232392676,2
itchy,18,0.291882496,2
jealous,1,0.187522492,2
jittery,1,0.270787841,2
jolted,1,0.329584559,2
jumpy,2,0.315803006,2
lazy,117,0.319818753,2
lethargic,9,0.246803474,2
lightheaded,2,0.289517784,2
loneliness,1,0.25969714,2
lonely,17,0.247123626,2
loose,2,0.487524729,2
losing,3,0.341756979,2
loss,1,0.362092755,2
lost,13,0.198099744,2
lousy,1,0.169609744,2
low,15,0.271020963,2
mad,17,0.166719168,2
meaningless,3,0.205894179,2
mediocre,1,0.140975735,2
melancholy,3,0.139418491,2
migraine,2,0.170694037,2
mindless,6,0.198746675,2
miserable,4,0.080701604,2
misery,1,0.2434554,2
mixed,5,0.389519184,2
moody,21,0.284977256,2
mournful,1,0.119327102,2
nausea,3,0.086384582,2
nauseated,3,0.088792242,2
nauseous,12,0.095831154,2
needy,1,0.378559801,2
negative,6,0.167437372,2
negativity,1,0.203774955,2
nervous,235,0.23437063,2
nonchalant,1,0.299903097,2
nothing,20,0.417158342,2
numb,52,0.191996665,2
occupied,15,0.386745003,2
off,16,0.405129734,2
ordinary,1,0.485601417,2
overfed,3,0.107883434,2
overthinking,3,0.395563616,2
overwhelmed,42,0.266740797,2
overworked,8,0.23451991,2
pain,89,0.24631542,2
painful,3,0.102718839,2
panic,1,0.142321502,2
pathetic,1,0.110511856,2
pensive,8,0.389729397,2
perplexed,2,0.269032363,2
pessimistic,5,0.23644958,2
pissed,3,0.192021718,2
powerless,14,0.100842097,2
preoccupied,7,0.286892065,2
pressure,13,0.413011722,2
pressured,7,0.300631818,2
puzzled,6,0.257820688,2
quenched,1,0.451212412,2
reflective,7,0.471060629,2
regret,3,0.222412191,2
reluctant,1,0.285958754,2
resentful,1,0.140812564,2
reserved,1,0.365007821,2
resigned,3,0.187808102,2
rested,112,0.472937209,2
restless,16,0.171013727,2
restrained,1,0.275599217,2
reviled,1,0.118162974,2
ruminating,5,0.49578151,2
rushed,6,0.360072781,2
sad,312,0.123790363,2
sadness,4,0.280329389,2
saturated,1,0.343467688,2
scared,24,0.123329647,2
screaming,1,0.406312404,2
shame,1,0.115991081,2
shock,1,0.329493511,2
shocked,12,0.466285473,2
sick,172,0.095921271,2
silly,6,0.358644443,2
skeptical,1,0.260349542,2
sleepy,646,0.377327835,2
sluggish,3,0.216766962,2
slump,4,0.192223021,2
sneezy,1,0.274183425,2
sober,1,0.459806318,2
somber,1,0.163785435,2
sombre,1,0.148690635,2
sore,73,0.109267098,2
sorrowful,2,0.088848709,2
sour,1,0.296154165,2
starving,2,0.20903009,2
static,2,0.363344358,2
stoic,1,0.496312194,2
stomachache,1,0.11328149,2
strain,1,0.161563293,2
strained,3,0.188596427,2
strange,2,0.304532505,2
stress,38,0.188816562,2
stressed,277,0.173081188,2
stressing,1,0.164727895,2
struggling,3,0.289922133,2
stubborn,1,0.206173164,2
stuck,9,0.265632822,2
stuffed,1,0.256456633,2
stupid,2,0.181139752,2
suffering,3,0.17079263,2
suffocated,1,0.255271809,2
suffocating,1,0.296948868,2
suicidal,3,0.040647311,2
sunburned,3,0.347799644,2
suspicious,2,0.174174425,2
sweaty,23,0.306755812,2
tense,41,0.321377613,2
tension,4,0.286595192,2
terrible,7,0.114857978,2
terrified,2,0.114070341,2
thirst,1,0.278878364,2
thirsty,11,0.259352318,2
tipsy,6,0.347575049,2
tired,1949,0.25387319,2
tiresome,1,0.193893137,2
toothache,2,0.233170128,2
torn,1,0.29786115,2
trash,1,0.203474605,2
tripping,1,0.427078198,2
troubled,8,0.146732605,2
ugly,7,0.248848728,2
unactive,1,0.399136501,2
unawake,1,0.303438608,2
uncertain,6,0.250574299,2
uncertainty,1,0.196207607,2
uncomfortable,46,0.239829983,2
unconcentrated,1,0.229776391,2
uncontrollable,1,0.215261337,2
uncreative,1,0.138410908,2
undecided,3,0.400965288,2
undecisive,2,0.307098629,2
undermined,1,0.25095505,2
undervalued,1,0.169880991,2
unease,1,0.245974931,2
uneasy,65,0.205619763,2
unenthusiastic,1,0.286321414,2
unfocused,15,0.325191587,2
unfulfilled,1,0.341523503,2
unhappy,11,0.154471599,2
unheard,1,0.261753774,2
unlucky,2,0.430085686,2
unmotivated,8,0.239082416,2
unpleasant,16,0.123228316,2
unproductive,3,0.165588336,2
unsafe,3,0.191023902,2
unsatisfied,2,0.322957764,2
unsettled,6,0.192775151,2
unstressed,2,0.202932316,2
unsure,7,0.272556427,2
unwell,7,0.123511634,2
unwilling,3,0.342646736,2
upset,43,0.085901434,2
useless,13,0.069739509,2
vigilant,2,0.460411628,2
vulnerable,1,0.184749144,2
weak,20,0.328660103,2
weary,5,0.210741693,2
weird,26,0.287906733,2
well,125,0.370978735,2
woozy,2,0.227051613,2
worn,6,0.265093721,2
worried,151,0.138972641,2
worry,2,0.169248257,2
worrying,2,0.138868892,2
worthless,4,0.09739282,2
wrecked,1,0.101576577,2
wronged,1,0.106208793,2
zoned,1,0.307498158,2
